Склад,Штабель,Марка,Максимальная температура,Пикет,Дата акта,Смена
3,50,A1,14.4,3100-3113,2020-02-13,921.0
4,47,A1,38.8,4087-4098,2020-02-13,921.0
4,41,A1,36.7,4076-4086,2020-02-13,921.0
4,39,A1,39.8,4012-4029,2020-02-13,921.0
4,30,A1,38.3,4031-4038,2020-02-13,921.0
4,23,A1,48.2,4055-4062,2020-02-13,921.0
4,21,A1,29.2,4063-4074,2020-02-13,921.0
4,6,A1,38.8,4099-4120,2020-02-13,921.0
4,16,A1,29.5,4045,2020-02-14,219.0
4,16,A1-КТК,73.6,"4045, 4046, 4052",2020-02-14,921.0
3,36,A1-МТ-ШУБ,8.3,3113-3120,2020-02-14,921.0
3,20,A1-КТК,8.8,3087-3099,2020-02-14,921.0
3,12,A1-СА-ШУБ,9.1,3026-3074,2020-02-14,921.0
3,50,A1,7.9,3100-3113,2020-02-14,921.0
4,47,A1-СУЭК,7.1,4087-4098,2020-02-14,921.0
4,41,A1-СА-ШУБ,7.6,4076-4086,2020-02-14,921.0
4,39,A1-ГЕН-МЕР,9.7,4012-4029,2020-02-14,921.0
4,30,A1-КТК,6.8,4031-4038,2020-02-14,921.0
4,23,A1,8.2,4055-4062,2020-02-14,921.0
4,21,A1-СУЭК-КАМ,10.0,4063-4074,2020-02-14,921.0
4,6,A1,8.3,4099-4120,2020-02-14,921.0
4,16,A1,71.8,"4045, 4046, 4052",2020-02-15,219.0
4,16,A1-КГК,31.8,4042-4048,2020-02-15,921.0
4,16,A1-КГК,31.3,4048-4052,2020-02-16,219.0
4,16,A1-КТК,57.4,4048-4052,2020-02-17,219.0
4,16,A1-КТК,55.3,4048-4052,2020-02-17,921.0
4,16,A1-КТК,52.6,4048-4052,2020-02-18,219.0
4,16,A1-КТК,46.1,4048-4052,2020-02-18,921.0
4,16,A1-КТК,61.5,4048-4052,2020-02-19,219.0
4,16,A1-КТК,61.9,4048-4052,2020-02-19,921.0
4,16,A1-КТК,65.4,4048-4052,2020-02-20,219.0
4,16,A1-КТК,32.5,4048-4052,2020-02-20,921.0
4,16,A1-КТК,35.7,4048-4052,2020-02-21,219.0
4,16,A1,36.5,4050-4054,2020-02-21,921.0
3,36,A1,35.8,3115,2020-02-24,219.0
3,36,A1-МТ-,31.0,3117-3120,2020-02-24,921.0
3,7,A1,29.7,3014-3022,2020-04-27,921.0
3,25,A1,27.8,3029-3037,2020-04-27,921.0
3,10,A1,30.8,3039-3059,2020-04-27,921.0
3,32,A1,29.6,3060-3080,2020-04-27,921.0
3,50,A1,29.7,3098-3120,2020-04-27,921.0
4,6,A1,24.0,4113-4120,2020-04-27,921.0
4,30,A1,30.0,4010-4015,2020-04-27,921.0
4,39,A1,30.8,4020-4031,2020-04-27,921.0
4,30,A1,34.6,4045-4079,2020-04-27,921.0
4,47,A1,29.7,4086-4105,2020-04-27,921.0
6,1,A1,22.7,6017-6055,2020-04-27,921.0
6,1,A1,23.7,6062-6085,2020-04-27,921.0
6,4,A1,27.4,6089-6097,2020-04-27,921.0
3,7,A1,27.5,3014-3022,2020-04-28,921.0
3,25,A1,21.7,3029-3037,2020-04-28,921.0
3,10,A1,20.9,3039-3059,2020-04-28,921.0
3,32,A1,25.5,3060-3080,2020-04-28,921.0
3,50,A1,25.7,3098-3120,2020-04-28,921.0
4,6,A1,23.0,4113-4120,2020-04-28,921.0
4,30,A1,24.5,4010-4015,2020-04-28,921.0
4,39,A1,25.0,4020-4031,2020-04-28,921.0
4,30,A1,26.7,4045-4079,2020-04-28,921.0
4,47,A1,22.4,4086-4105,2020-04-28,921.0
6,1,A1,21.7,6017-6055,2020-04-28,921.0
6,1,A1,27.7,6062-6085,2020-04-28,921.0
6,4,A1,28.8,6089-6097,2020-04-28,921.0
3,7,A1,24.6,3014-3022,2020-04-29,921.0
3,25,A1,19.9,3029-3037,2020-04-29,921.0
3,10,A1,22.7,3049-3059,2020-04-29,921.0
3,32,A1,24.5,3060-3080,2020-04-29,921.0
3,50,A1,23.2,3098-3120,2020-04-29,921.0
4,6,A1,20.3,4113-4120,2020-04-29,921.0
4,30,A1,22.6,4010-4015,2020-04-29,921.0
4,39,A1,23.5,4020-4031,2020-04-29,921.0
4,30,A1,24.0,4055-4079,2020-04-29,921.0
4,47,A1,23.2,4086-4105,2020-04-29,921.0
6,1,A1,22.0,6017-6055,2020-04-29,921.0
6,1,A1,25.6,6062-6085,2020-04-29,921.0
6,4,A1,27.5,6089-6097,2020-04-29,921.0
3,7,A1,23.5,3014-3022,2020-04-30,921.0
3,25,A1,23.3,3029-3037,2020-04-30,921.0
3,32,A1,27.6,3060-3080,2020-04-30,921.0
3,50,A1,25.8,3098-3120,2020-04-30,921.0
4,6,A1,23.0,4113-4120,2020-04-30,921.0
4,30,A1,23.2,4010-4015,2020-04-30,921.0
4,39,A1,20.0,4020-4031,2020-04-30,921.0
4,30,A1,23.8,4055-4079,2020-04-30,921.0
4,47,A1,24.5,4086-4105,2020-04-30,921.0
6,1,A1,18.1,6017-6055,2020-04-30,921.0
6,1,A1,21.7,6062-6085,2020-04-30,921.0
6,4,A1,27.9,6089-6097,2020-04-30,921.0
3,7,A1,25.5,3014-3022,2020-05-01,921.0
3,25,A1,21.6,3029-3037,2020-05-01,921.0
3,32,A1,20.9,3060-3080,2020-05-01,921.0
3,50,A1,23.0,3098-3120,2020-05-01,921.0
4,6,A1,23.9,4113-4120,2020-05-01,921.0
4,30,A1,23.8,4010-4015,2020-05-01,921.0
4,39,A1,22.5,4020-4031,2020-05-01,921.0
4,30,A1,23.8,4055-4079,2020-05-01,921.0
4,47,A1,21.8,4086-4105,2020-05-01,921.0
6,1,A1,20.7,6017-6055,2020-05-01,921.0
6,1,A1,21.0,6062-6085,2020-05-01,921.0
6,4,A1,23.9,6089-6097,2020-05-01,921.0
3,7,A1,25.5,3012-3022,2020-05-02,921.0
3,25,A1,19.6,3029-3037,2020-05-02,921.0
3,32,A1,19.7,3060-3080 .  . / - -,2020-05-02,921.0
3,50,A1,20.7,3098-3120,2020-05-02,921.0
4,6,A1,20.8,4112-4120,2020-05-02,921.0
4,30,A1,19.5,4010-4015,2020-05-02,921.0
4,39,A1,24.3,4017-4031,2020-05-02,921.0
4,30,A1,23.2,4055-4079,2020-05-02,921.0
4,47,A1,18.0,4086-4105,2020-05-02,921.0
6,1,A1,17.0,6017-6056,2020-05-02,921.0
6,1,A1,19.4,6062-6085,2020-05-02,921.0
6,4,A1,22.6,6089-6104,2020-05-02,921.0
3,7,A1,21.1,3014-3022,2020-05-03,921.0
3,25,A1,22.6,3029-3037,2020-05-03,921.0
3,32,A1,21.5,3060-3080,2020-05-03,921.0
3,50,A1,22.9,3098-3120,2020-05-03,921.0
4,6,A1,20.5,4113-4120,2020-05-03,921.0
4,30,A1,22.6,4010-4014,2020-05-03,921.0
4,39,A1,21.4,4017-4031,2020-05-03,921.0
4,30,A1,19.7,4055-4079,2020-05-03,921.0
4,47,A1,20.0,4086-4105,2020-05-03,921.0
6,1,A1,20.6,6017-6056,2020-05-03,921.0
6,1,A1,23.2,6062-6085,2020-05-03,921.0
6,4,A1,21.4,6089-6104,2020-05-03,921.0
3,7,A1,21.5,3014-3022,2020-05-04,921.0
3,25,A1,23.9,3029-3037,2020-05-04,921.0
3,32,A1,21.9,3060-3080,2020-05-04,921.0
3,50,A1,24.8,3098-3120,2020-05-04,921.0
4,30,A1,24.6,4010-4014,2020-05-04,921.0
4,39,A1,22.4,4018-4031,2020-05-04,921.0
4,30,A1,23.1,4054-4079,2020-05-04,921.0
4,47,A1,20.3,4083-4102,2020-05-04,921.0
4,6,A1,20.7,4112-4120,2020-05-04,921.0
6,1,A1,19.9,6017-6056,2020-05-04,921.0
6,1,A1,21.4,6062-6085,2020-05-04,921.0
6,4,A1,20.8,6089-6104,2020-05-04,921.0
3,7,A1,24.2,3014-3026,2020-05-05,921.0
3,25,A1,22.2,3029-3039,2020-05-05,921.0
3,32,A1,23.0,3067-3084,2020-05-05,921.0
3,50,A1,20.6,3098-3120,2020-05-05,921.0
4,30,A1,22.7,4010-4014,2020-05-05,921.0
4,39,A1,24.6,4018-403<>;ЩЧ-,2020-05-05,921.0
4,30,A1,22.2,4054-4078,2020-05-05,921.0
4,8,A1,21.5,.4080-4083,2020-05-05,921.0
4,47,A1,21.7,4086-4104,2020-05-05,921.0
4,6,A1,31.4,4112-4120,2020-05-05,921.0
6,1,A1,21.8,6017-6056,2020-05-05,921.0
6,1,A1,22.8,6062-6085,2020-05-05,921.0
6,4,A1,23.9,6089-6104,2020-05-05,921.0
4,6,A1,26.8,4112-4120,2020-05-06,219.0
3,7,A1,21.8,3012-3022,2020-05-06,921.0
3,25,A1,19.2,3029-3037,2020-05-06,921.0
3,32,A1,19.3,3060-3080,2020-05-06,921.0
3,50,A1,21.8,3098-3120,2020-05-06,921.0
4,6,A1,18.8,4112-4120,2020-05-06,921.0
4,30,A1,23.5,4010-4015,2020-05-06,921.0
4,39,A1,18.8,4017-4031,2020-05-06,921.0
4,30,A1,19.8,4055-4079,2020-05-06,921.0
4,8,A1,19.9,4080-4083,2020-05-06,921.0
4,47,A1,22.3,4086-4105,2020-05-06,921.0
6,1,A1,22.1,6017-6056,2020-05-06,921.0
6,1,A1,19.9,6062-6085,2020-05-06,921.0
6,4,A1,20.8,6089-6104,2020-05-06,921.0
3,7,A1,24.8,,2020-05-07,921.0
3,25,A1,21.8,3029-3042,2020-05-07,921.0
3,32,A1,20.6,3064-3086,2020-05-07,921.0
3,50,A1,19.8,3100-3120,2020-05-07,921.0
4,6,A1,20.2,4105-4120,2020-05-07,921.0
4,30,A1,18.6,4010-4015,2020-05-07,921.0
4,39,A1,20.3,4016-4031,2020-05-07,921.0
4,3,NAN,19.9,4055-4078,2020-05-07,921.0
4,8,A1,21.6,4079-4086,2020-05-07,921.0
4,47,A1,20.8,4086-4105,2020-05-07,921.0
6,1,A1,21.2,6017-6056,2020-05-07,921.0
6,1,A1,19.5,6062-6085,2020-05-07,921.0
6,4,A1,21.9,6087-6102,2020-05-07,921.0
3,7,A1,21.7,3012-3026,2020-05-08,921.0
3,25,A1,22.5,3029-3042,2020-05-08,921.0
3,32,A1,21.8,3064-3086,2020-05-08,921.0
3,9,A1,19.9,3088-3099,2020-05-08,921.0
3,50,A1,20.8,3100-3120,2020-05-08,921.0
4,6,A1,20.2,4105-4120,2020-05-08,921.0
4,30,A1,20.6,4010-4015,2020-05-08,921.0
4,39,A1,19.7,4016-4031,2020-05-08,921.0
4,30,A1,19.9,4055-4078,2020-05-08,921.0
4,8,A1,21.0,4079-4086,2020-05-08,921.0
4,47,A1,20.7,4086-4105,2020-05-08,921.0
6,1,A1,17.9,6017-6056,2020-05-08,921.0
6,1,A1,22.9,6062-6085,2020-05-08,921.0
6,4,A1,23.3,6087-6102,2020-05-08,921.0
3,7,A1,27.1,3013-3026,2020-05-09,
3,25,A1,24.8,3029-3041,2020-05-09,
3,32,A1,27.1,3064-3P86,2020-05-09,
3,9,A1,26.3,3088-3098,2020-05-09,
3,50,A1,27.7,3100-3120,2020-05-09,
4,30,A1,26.0,4010-4014,2020-05-09,
4,39,A1,27.3,4016-4031,2020-05-09,
4,30,A1,25.3,4054-4077,2020-05-09,
4,8,A1,25.0,4078-4084,2020-05-09,
4,47,A1,26.7,4086-4104,2020-05-09,
4,6,A1,25.5,4105-4120,2020-05-09,
6,1,A1,25.0,6019-6055,2020-05-09,
6,1,A1,23.5,6062-6084,2020-05-09,
6,4,A1,25.7,6087-6102,2020-05-09,
3,7,A1,26.5,3013-3026,2020-05-10,921.0
3,25,A1,22.9,3029-3041,2020-05-10,921.0
3,32,A1,25.7,3064-3086,2020-05-10,921.0
3,9,A1,24.5,3088-3098,2020-05-10,921.0
3,50,A1,28.3,3100-3120,2020-05-10,921.0
4,30,A1,26.4,_ 4010-4014,2020-05-10,921.0
4,39,A1,26.4,4016-4031,2020-05-10,921.0
4,30,A1,25.2,4054-4077,2020-05-10,921.0
4,8,A1,26.2,4078-4084,2020-05-10,921.0
4,47,A1,26.1,4086-4104,2020-05-10,921.0
4,6,A1,21.5,4105-4120,2020-05-10,921.0
6,1,A1,23.3,6019-6055,2020-05-10,921.0
6,1,A1,23.0,6062-6084,2020-05-10,921.0
6,4,A1,26.5,6087-6102,2020-05-10,921.0
3,7,A1,26.9,3013-3026,2020-05-11,921.0
3,25,A1,26.8,3029-3041,2020-05-11,921.0
3,32,A1,28.2,3064-3086,2020-05-11,921.0
3,9,A1,25.1,3088-3098,2020-05-11,921.0
3,50,A1,23.7,3100-3120,2020-05-11,921.0
4,30,A1,25.1,4010-4014,2020-05-11,921.0
4,39,A1,22.8,4016-4031,2020-05-11,921.0
4,30,A1,26.6,4054-4077,2020-05-11,921.0
4,8,A1,27.5,4078-4084,2020-05-11,921.0
4,47,A1,26.7,4086-4104,2020-05-11,921.0
4,6,A1,24.7,4105-4120,2020-05-11,921.0
6,1,A1,23.5,6019-6055,2020-05-11,921.0
6,1,A1,28.8,6062-6084,2020-05-11,921.0
6,4,A1,28.8,6087-6102,2020-05-11,921.0
3,7,A1,20.2,3012-3027,2020-05-12,921.0
3,25,A1,19.3,3029-3042,2020-05-12,921.0
3,9,A1,23.0,3074-3099,2020-05-12,921.0
3,50,A1,24.9,3100-3120,2020-05-12,921.0
4,6,A1,23.6,4109-4120,2020-05-12,921.0
4,30,A1,21.6,4010-4015,2020-05-12,921.0
4,39,A1,21.6,4016-4031,2020-05-12,921.0
4,30,A1,21.8,4055-4078,2020-05-12,921.0
4,8,A1,21.7,4079-4086,2020-05-12,921.0
4,47,A1,20.6,4086-4105,2020-05-12,921.0
6,1,A1,21.3,6017-6056,2020-05-12,921.0
6,1,A1,21.5,6062-6085,2020-05-12,921.0
6,4,A1,23.4,6087-6102,2020-05-12,921.0
3,7,A1,23.1,3012-3027 i               ...            .-Д'. •:,2020-05-13,921.0
3,25,A1,24.6,3029-3042,2020-05-13,921.0
3,9,A1,22.1,3074-3099,2020-05-13,921.0
3,50,A1,32.1,3100-3120,2020-05-13,921.0
4,6,A1,21.4,4109-4120,2020-05-13,921.0
4,30,A1,21.1,4010-4015,2020-05-13,921.0
4,39,A1,23.8,4016-4031,2020-05-13,921.0
4,30,A1,21.7,4055-4078,2020-05-13,921.0
4,8,A1,21.5,4079-4086,2020-05-13,921.0
4,47,A1,18.6,4086-4105,2020-05-13,921.0
6,1,A1,19.4,6017-6056,2020-05-13,921.0
6,1,A1,25.4,6062-6085,2020-05-13,921.0
6,4,A1,29.0,6087-6102,2020-05-13,921.0
3,7,A1,21.8,3012-3027,2020-05-14,921.0
3,25,A1,19.8,3029-3042,2020-05-14,921.0
3,9,A1,21.7,3074-3099,2020-05-14,921.0
3,26,A1,21.9,3099-3103,2020-05-14,921.0
3,50,A1,34.3,3105-3120,2020-05-14,921.0
4,6,A1,84.0,4109-4120,2020-05-14,921.0
4,30,A1,22.0,4010-4015,2020-05-14,921.0
4,39,A1,25.1,4016-4031,2020-05-14,921.0
4,30,A1,19.3,4055-4078,2020-05-14,921.0
4,47,A1,24.7,4086-4105,2020-05-14,921.0
6,1,A1,17.5,6017-6056,2020-05-14,921.0
6,1,A1,19.9,6062-6085,2020-05-14,921.0
6,4,A1,24.5,60®XHh№9K°’,2020-05-14,921.0
3,7,A1,19.7,3012-3027,2020-05-15,219.0
3,25,A1,20.2,3028-3045,2020-05-15,219.0
3,9,A1,22.9,3066-3099,2020-05-15,219.0
3,26,A1,22.3,3099-3104,2020-05-15,219.0
3,50,A1,27.5,3104-3120,2020-05-15,219.0
4,6,A1,83.9,4114-4120,2020-05-15,219.0
4,30,A1,20.0,4010-4015,2020-05-15,219.0
4,39,A1,22.0,4016-4034,2020-05-15,219.0
4,30,A1,21.6,4055-4078,2020-05-15,219.0
4,47,A1,20.8,4084-4107,2020-05-15,219.0
6,1,A1,19.8,6017-6056,2020-05-15,219.0
6,1,A1,20.8,6062-6085,2020-05-15,219.0
6,4,A1,19.7,6087-6102,2020-05-15,219.0
3,7,A1-СУЭК,29.0,,2020-05-15,921.0
3,25,A1-ЕР,27.0,,2020-05-15,921.0
3,50,A1,30.2,,2020-05-15,921.0
4,6,A1-СТР,21.4,,2020-05-15,921.0
4,47,A1-СУЭК,29.0,,2020-05-15,921.0
4,30,A1-КТК,27.5,,2020-05-15,921.0
4,39,A1-ГЕН-,29.0,,2020-05-15,921.0
6,4,A1-СА-ШУБ,28.7,,2020-05-15,921.0
6,1,A1-КТК,28.4,V      | Q Д ---------------Й Л М П h с ь,2020-05-15,921.0
3,7,A1,29.7,3012-3027,2020-05-16,921.0
3,25,A1,29.4,3028-3045,2020-05-16,921.0
3,50,A1,30.4,3104-3120,2020-05-16,921.0
4,6,A1,23.7,4114-4120,2020-05-16,921.0
4,30,A1,28.2,4010-4015,2020-05-16,921.0
4,39,А,29.4,4016-4034,2020-05-16,921.0
4,30,A1,28.7,4055-4078,2020-05-16,921.0
4,47,A1,26.9,4084-4107,2020-05-16,921.0
6,1,A1,25.6,6017-6056,2020-05-16,921.0
6,1,A1,28.7,6062-6085,2020-05-16,921.0
6,4,A1,27.9,6087-6102,2020-05-16,921.0
3,7,A1,26.7,3012-3027 1,2020-05-17,921.0
3,25,A1,26.8,3028-3045    1,2020-05-17,921.0
3,50,A1,24.6,3104-3120,2020-05-17,921.0
4,6,A1,22.8,4114-4120,2020-05-17,921.0
4,30,A1,26.5,4010-4015,2020-05-17,921.0
4,39,A1,24.2,4016-4034,2020-05-17,921.0
4,30,A1,26.7,4055-4078,2020-05-17,921.0
4,47,A1,24.4,4084-4107,2020-05-17,921.0
6,1,A1,26.1,6017-6056,2020-05-17,921.0
6,1,A1,26.6,6062-6085,2020-05-17,921.0
6,4,A1,26.1,6087-6102,2020-05-17,921.0
3,7,A1,18.0,3012-3027,2020-05-18,921.0
3,25,A1,20.0,3028-3045,2020-05-18,921.0
3,9,A1,19.5,3083-3098,2020-05-18,921.0
3,26,A1,17.8,3099-3104,2020-05-18,921.0
3,50,A1,22.5,3104-3120,2020-05-18,921.0
4,6,A1,411.0,4116-4120,2020-05-18,921.0
4,30,A1,22.0,4010-4015,2020-05-18,921.0
4,39,A1,20.6,4016-4040,2020-05-18,921.0
4,30,A1,17.6,4054-4078,2020-05-18,921.0
4,47,A1,17.7,4079-4113,2020-05-18,921.0
6,1,A1,15.5,6017-6056,2020-05-18,921.0
6,1,A1,16.6,6062-6085,2020-05-18,921.0
6,4,A1,15.6,............. 6087-6102,2020-05-18,921.0
3,7,A1,27.9,3012-3027,2020-05-18,219.0
3,25,A1,25.0,3028-3045,2020-05-18,219.0
3,50,A1,25.6,3104-3120,2020-05-18,219.0
4,6,A1,27.1,4114-4120,2020-05-18,219.0
4,30,A1,26.8,4010-4015,2020-05-18,219.0
4,39,A1,26.7,4016-4034,2020-05-18,219.0
4,30,A1,25.8,4055-4078,2020-05-18,219.0
4,47,A1,25.5,4084-4107,2020-05-18,219.0
6,1,A1,27.2,6017-6056,2020-05-18,219.0
6,1,A1,25.7,6062-6085,2020-05-18,219.0
6,4,A1,26.1,6087-6102,2020-05-18,219.0
3,7,A1,10.1,3012- 302/,2020-05-19,219.0
3,25,A1,14.2,3028- 3045,2020-05-19,219.0
3,9,A1,10.1,3083- 3098,2020-05-19,219.0
3,26,A1,14.6,3099- 3104,2020-05-19,219.0
3,50,A1,11.5,3104- 3120,2020-05-19,219.0
4,6,A1,11.2,4116- 4120,2020-05-19,219.0
4,30,A1,7.7,4010- 4015,2020-05-19,219.0
4,39,A1,13.3,4016- 4040,2020-05-19,219.0
4,30,A1,13.4,4054- 4078,2020-05-19,219.0
4,47,A1,14.2,4079- 4113,2020-05-19,219.0
6,1,A1,9.7,6017- 6056,2020-05-19,219.0
6,1,A1,10.1,6062- 6085,2020-05-19,219.0
6,4,A1,14.4,6087- 6102,2020-05-19,219.0
3,7,A1,20.6,3012- 3027,2020-05-20,219.0
3,25,A1,18.7,3028- 3045,2020-05-20,219.0
3,9,A1,21.4,3085- 3098,2020-05-20,219.0
3,26,A1,20.7,3099- 3104,2020-05-20,219.0
3,50,A1,23.4,3104- 3120,2020-05-20,219.0
3,34,A1,22.6,3046- 3075,2020-05-20,219.0
4,6,A1,21.6,4116- 4120,2020-05-20,219.0
4,30,A1,23.1,4010- 4015,2020-05-20,219.0
4,39,A1,22.7,4016- 4040,2020-05-20,219.0
4,30,A1,20.5,4054- 4078,2020-05-20,219.0
4,47,A1,21.4,4079- 4113,2020-05-20,219.0
6,1,A1,19.5,6017- 6056,2020-05-20,219.0
3,7,A1,22.8,3012-3027,2020-05-21,219.0
3,25,A1,26.2,3028-3045,2020-05-21,219.0
3,9,A1,30.8,3085-3098,2020-05-21,219.0
3,26,A1,35.4,3098-3120,2020-05-21,219.0
3,34,A1,26.4,3046-3077,2020-05-21,219.0
4,6,A1,23.8,4116-4120,2020-05-21,219.0
4,30,A1,24.2,4010-4015,2020-05-21,219.0
4,39,A1,26.8,4016-4042,2020-05-21,219.0
4,30,A1,23.1,4054-4078,2020-05-21,219.0
4,47,A1,19.9,4079-4114,2020-05-21,219.0
6,1,A1,16.3,6017-6056,2020-05-21,219.0
6,1,A1,21.9,6062-6085,2020-05-21,219.0
6,4,A1,23.3,6087-6102,2020-05-21,219.0
3,7,A1,21.4,3012-3027,2020-05-22,219.0
3,25,A1,20.8,3028-3045,2020-05-22,219.0
3,34,A1,24.5,3046-3077,2020-05-22,219.0
3,9,A1,24.2,■ 3088-3097,2020-05-22,219.0
3,26,A1,28.1,3099-3120,2020-05-22,219.0
4,6,A1,22.1,4116-4120,2020-05-22,219.0
4,30,A1,26.6,4010-4015,2020-05-22,219.0
4,39,A1,24.4,4016-4042,2020-05-22,219.0
4,30,A1,22.0,4054-4078,2020-05-22,219.0
4,47,A1,22.8,4079-4114,2020-05-22,219.0
6,1,A1,24.2,6017-6056,2020-05-22,219.0
6,1,A1,23.8,6062-6085,2020-05-22,219.0
6,4,A1,25.5,6087-6102,2020-05-22,219.0
3,7,A1,23.0,3012-3027,2020-05-21,921.0
3,25,A1,22.9,3028-3045,2020-05-21,921.0
3,34,A1,25.0,3046-3077,2020-05-21,921.0
3,9,A1,23.3,3088-3097,2020-05-21,921.0
3,26,A1,27.6,3099-3120,2020-05-21,921.0
4,6,A1,23.0,4116-4120,2020-05-21,921.0
4,30,A1,28.5,4010-4015,2020-05-21,921.0
4,39,A1,24.0,4016-4042,2020-05-21,921.0
4,30,A1,26.4,4054-4078,2020-05-21,921.0
4,47,A1,23.4,4079-4114,2020-05-21,921.0
6,1,A1,23.9,6017-6056,2020-05-21,921.0
6,1,A1,24.7,6062-6085,2020-05-21,921.0
6,4,A1,25.5,6087-6102,2020-05-21,921.0
3,7,A1,23.0,3012-3027,2020-05-21,921.0
3,25,A1,22.9,3028-3045,2020-05-21,921.0
3,34,A1,25.0,3046-3077,2020-05-21,921.0
3,9,A1,23.3,3088-3097,2020-05-21,921.0
3,26,A1,27.6,3099-3120,2020-05-21,921.0
4,6,A1,23.0,4116-4120,2020-05-21,921.0
4,30,A1,28.5,4010-4015,2020-05-21,921.0
4,39,A1,24.0,4016-4042,2020-05-21,921.0
4,30,A1,26.4,4054-4078,2020-05-21,921.0
4,47,A1,23.4,4079-4114,2020-05-21,921.0
6,1,A1,23.9,6017-6056,2020-05-21,921.0
6,1,A1,24.7,6062-6085 000«0тэк,2020-05-21,921.0
6,4,A1,25.5,6087-6102,2020-05-21,921.0
3,7,A1,24.0,3012-3027,2020-05-22,219.0
3,25,A1,24.2,3028-3045,2020-05-22,219.0
3,34,A1,27.5,3046-3077,2020-05-22,219.0
3,9,A1,22.9,3088-3097,2020-05-22,219.0
3,26,A1,23.1,3099-3120,2020-05-22,219.0
4,6,A1,20.2,4116-4120,2020-05-22,219.0
4,30,A1,28.0,4010-4015,2020-05-22,219.0
4,39,A1,25.4,4016-4042,2020-05-22,219.0
4,30,A1,28.4,4054-4078,2020-05-22,219.0
4,47,A1,23.0,4079-4114,2020-05-22,219.0
6,1,A1,23.3,5054-5081,2020-05-22,219.0
6,1,A1,27.4,6017-6056,2020-05-22,219.0
6,4,A1,25.5,6087-6102,2020-05-22,219.0
3,7,A1,30.0,3012-3027—,2020-05-22,921.0
3,25,A1,26.1,3028-3045,2020-05-22,921.0
3,34,A1,27.5,3046-3077 —,2020-05-22,921.0
3,9,A1,25.9,3088-3097,2020-05-22,921.0
3,26,A1,28.4,3099-3120,2020-05-22,921.0
4,6,A1,27.0,4116-4120,2020-05-22,921.0
4,30,A1,25.4,4010-4015 ■,2020-05-22,921.0
4,39,A1,28.1,4016-4042,2020-05-22,921.0
4,30,A1,28.7,4054-4078,2020-05-22,921.0
4,47,A1,28.0,4079-4114 **...,2020-05-22,921.0
6,1,A1,28.2,6017-6056,2020-05-22,921.0
6,1,A1,25.6,6062-6085,2020-05-22,921.0
6,4,A1,26.6,6087-6102        Ко,2020-05-22,921.0
3,7,A1,21.2,3012-3027,2020-05-20,921.0
3,25,A1,22.9,3028-3045,2020-05-20,921.0
3,9,A1,30.8,3085-3098,2020-05-20,921.0
3,7,A1,25.7,3012-3027,2020-05-23,921.0
3,25,A1,26.3,3028-3045 —,2020-05-23,921.0
3,34,A1,29.1,3046-3077,2020-05-23,921.0
3,9,A1,27.7,3088-3097,2020-05-23,921.0
3,26,A1,25.5,3099-3120,2020-05-23,921.0
4,6,A1,23.3,4116-4120,2020-05-23,921.0
4,30,A1,28.3,4010-4015,2020-05-23,921.0
4,39,A1,26.9,4016-4042,2020-05-23,921.0
4,30,A1,26.5,4054-4078,2020-05-23,921.0
4,47,A1,26.4,4079-4114,2020-05-23,921.0
6,1,A1,26.1,6017-6056,2020-05-23,921.0
6,1,A1,26.8,6062-6085       3^,2020-05-23,921.0
6,4,A1,27.4,6087-6102       /,2020-05-23,921.0
3,7,A1,26.7,3012-3027,2020-05-23,219.0
3,25,A1,26.9,3028-3045,2020-05-23,219.0
3,34,A1,24.5,3046-3077,2020-05-23,219.0
3,9,A1,23.1,3088-3097,2020-05-23,219.0
3,26,A1,27.2,3099-3120,2020-05-23,219.0
4,6,A1,26.2,4116-4120,2020-05-23,219.0
4,30,A1,25.2,4010-4015,2020-05-23,219.0
4,39,A1,24.8,4016-4042,2020-05-23,219.0
4,30,A1,26.0,4054-4078,2020-05-23,219.0
4,47,A1,26.4,4079-4114,2020-05-23,219.0
6,1,A1,27.1,6017-6056,2020-05-23,219.0
6,1,A1,25.4,6062-6085,2020-05-23,219.0
6,4,A1,26.6,6087-6102,2020-05-23,219.0
3,7,A1,29.1,2 3010-3027,2020-05-24,921.0
3,25,A1,26.6,3028-3045,2020-05-24,921.0
3,34,A1,29.7,3046-3078,2020-05-24,921.0
3,9,A1,31.5,- 3081-3098,2020-05-24,921.0
3,26,A1,35.9,3099-3120,2020-05-24,921.0
4,30,A1,24.7,4010-4014,2020-05-24,921.0
4,39,A1,28.2,4022-4043,2020-05-24,921.0
4,30,A1,25.3,4054-4078,2020-05-24,921.0
4,47,A1,27.4,4079-4116,2020-05-24,921.0
4,6,A1,25.4,4116-4120,2020-05-24,921.0
6,1,A1,28.8,6017-6056,2020-05-24,921.0
6,1,A1,24.4,6062-6085,2020-05-24,921.0
6,4,A1,26.6,6087-6102,2020-05-24,921.0
3,7,A1,18.6,3010-3027,2020-05-25,219.0
3,25,A1,21.4,3028-3045,2020-05-25,219.0
3,34,A1,26.5,3046-3078,2020-05-25,219.0
3,7,A1,25.9,3010-3027,2020-05-25,921.0
3,25,A1,27.3,3028-3045,2020-05-25,921.0
3,34,A1,25.4,3046-3078,2020-05-25,921.0
3,9,A1,25.2,3081-3098,2020-05-25,921.0
3,26,A1,25.9,3098-3120,2020-05-25,921.0
